velocity,geo_altitude,vertical_rate,speed_change,altitude_change,true_track,anomaly,anomaly_score,risk_score,risk_level,latitude,longitude,time_position,next_latitude,next_longitude,pred_latitude,pred_longitude
49.48,571.5,-0.98,4.669999999999995,358.14,332.1,Normal,0.056258709026694,0,LOW,46.4863,15.6601,2025-08-19 10:39:04,5.9248,116.0495,17.460836000000008,83.14486500000002
2.57,3215.64,4.23,-127.06,-3596.64,112.5,Normal,0.03527748379945761,2,LOW,5.9248,116.0495,2025-08-19 10:39:04,32.8959,-97.0332,36.13467599999999,-50.993611999999956
7.72,10668.0,0.0,0.0,0.0,354.38,Normal,0.033423823853703016,0,LOW,32.8959,-97.0332,2025-08-19 10:39:04,-32.3007,-62.1511,-1.5034500000000017,-18.59765000000001
213.05,11209.02,0.33,-0.839999999999975,304.8000000000011,304.57,Normal,0.1609495925334687,0,LOW,-32.3007,-62.1511,2025-08-19 10:39:04,53.6461,25.6812,49.45264299999997,23.266598
146.59,1866.9,-5.2,-99.0,-9776.46,109.26,Normal,0.04511014244774625,2,LOW,53.6461,25.6812,2025-08-19 10:39:04,39.503,-0.5177,36.25577000000004,17.833973999999973
76.16,228.6,-3.9,67.92999999999999,53.34,116.05,Normal,0.06588209856664506,0,LOW,39.503,-0.5177,2025-08-19 10:39:06,26.2911,-80.0993,28.858955999999964,-51.744080999999966
56.65,137.16,0.65,-92.21,-2773.6800000000003,357.4,Normal,0.02480270558069586,2,LOW,26.2911,-80.0993,2025-08-19 10:39:06,-7.8249,110.4477,7.091925000000012,77.60929999999993
181.74,5745.48,-13.33,-49.73999999999998,-6355.08,218.1,Normal,0.029043660153309392,2,LOW,-7.8249,110.4477,2025-08-19 10:39:07,51.2416,5.5897,43.25283299999995,-2.0605230000000017
51.96,220.98,-5.53,-151.84,-10142.22,348.58,Normal,0.0059605866899700155,2,LOW,51.2416,5.5897,2025-08-19 10:39:07,33.6079,130.4357,30.477020999999983,93.26020199999998
71.66,106.68,-3.9,-146.07,-9471.66,150.31,Normal,0.06817038161227956,2,LOW,33.6079,130.4357,2025-08-19 10:39:09,21.9482,108.4638,20.954511000000014,97.00149700000003
206.87,5212.08,-6.5,-38.75999999999999,-7117.08,1.42,Normal,0.00759091830504266,2,LOW,21.9482,108.4638,2025-08-19 10:39:09,35.7696,131.1886,33.19503500000003,91.01550700000008
234.99,9761.22,0.0,113.72,8084.82,278.31,Normal,0.12319635742669605,2,LOW,35.7696,131.1886,2025-08-19 10:39:09,-27.3881,153.1206,-13.29515899999998,128.61927300000008
3.6,1844.04,11.05,-211.81,-9890.759999999998,281.25,Anomaly,-0.04758326457610884,5,MEDIUM,-27.3881,153.1206,2025-08-19 10:39:09,51.8427,0.6638,40.21683900000004,-3.8087780000000038
54.84,586.74,0.65,-93.38,-2781.3,286.91,Normal,0.05350182743067722,2,LOW,51.8427,0.6638,2025-08-19 10:39:10,37.444,14.7991,39.708244999999984,12.21385799999998
102.49,1310.64,-5.85,95.8,121.92000000000009,83.66,Normal,0.037819691028282976,0,LOW,37.444,14.7991,2025-08-19 10:39:10,34.9354,33.6994,36.612580999999956,36.08171199999997
76.03,457.2,-2.6,-190.66,-11148.06,225.27,Normal,0.060073517346061756,2,LOW,34.9354,33.6994,2025-08-19 10:39:11,43.4256,19.8486,39.493547000000014,26.230177999999988
263.71,10408.92,0.0,29.70999999999998,-1234.4400000000005,126.51,Normal,0.1265018842496322,2,LOW,43.4256,19.8486,2025-08-19 10:39:11,33.6894,-112.0857,37.33235000000006,-76.10365999999992
35.59,426.72,-2.6,-138.06,-2994.66,85.86,Normal,0.0602769734676194,2,LOW,33.6894,-112.0857,2025-08-19 10:39:11,51.5861,-0.5205,41.41481499999999,7.86304000000001
24.89,160.02,-1.3,15.12,91.44,60.26,Normal,0.05644760332533444,0,LOW,51.5861,-0.5205,2025-08-19 10:39:11,54.7447,-131.9575,49.89408000000007,-89.09037000000016
233.92,11902.44,0.0,228.0,15.239999999999782,135.62,Normal,0.11884101695577892,0,LOW,54.7447,-131.9575,2025-08-19 10:39:12,4.0045,104.085,12.298366000000005,81.77337100000003
237.52,9745.98,0.0,231.6,594.3599999999988,10.48,Normal,0.05881988326777837,0,LOW,4.0045,104.085,2025-08-19 10:39:13,47.6007,7.5303,39.969631999999976,-1.735643999999998
7.72,8839.2,-8.13,-173.39,2179.3200000000006,146.25,Anomaly,-0.0020546839005586293,5,MEDIUM,47.6007,7.5303,2025-08-19 10:39:13,60.3071,5.2669,49.475259000000015,-1.5564160000000007
